UserID,UserName,Department,Country,AccountStatus
1,Sahib Taylor,HR,Canada,Active
2,Nakul Yadav,HR,Canada,Active
3,Rahul Wilson,Cloud,Canada,Active
4,Harmanjit Patel,Marketing,Canada,Active
5,Karan Kaur,Sales,Canada,Active
6,Rahul Taylor,HR,Canada,Inactive
7,Sahib Yadav,Cloud,USA,Active
8,Karan Yadav,Sales,Canada,Inactive
9,Simran Singh,IT,UK,Active
10,Priya Wilson,Sales,Canada,Active
11,Karan Chaudhary,Marketing,Canada,Active
12,Binil Brown,Engineering,Canada,Active
13,Simran Patel,Marketing,USA,Active
14,Sahib Taylor,Sales,Canada,Inactive
15,Rahul Chaudhary,Engineering,Canada,Active
16,Harmanjit Patel,Cloud,Canada,Active
17,Sahib Chaudhary,IT,India,Inactive
18,Rahul Yadav,Cloud,Canada,Active
19,Karan Brown,Cloud,Canada,Active
20,Binil Sharma,Security,India,Active
21,Binil Singh,Marketing,India,Active
22,Rahul Singh,Security,Canada,Inactive
23,Rahul Sharma,Cloud,UK,Active
24,Nakul Singh,IT,Canada,Active
25,Aman Kaur,Marketing,Canada,Active
26,Harmanjit John,Sales,Canada,Active
27,Anisha Patel,Cloud,USA,Active
28,Simran Chaudhary,HR,Canada,Inactive
29,Anisha Chaudhary,Marketing,USA,Active
30,Priya Chaudhary,IT,Canada,Active
31,Sahib Sharma,Security,Canada,Active
32,Sahib Yadav,HR,Canada,Active
33,Aman Kaur,Cloud,India,Active
34,Anisha Yadav,HR,India,Active
35,Rahul Chaudhary,Cloud,India,Active
36,Aman Yadav,Finance,Canada,Active
37,Sahib Brown,Security,Canada,Active
38,Karan Patel,HR,Canada,Active
39,Rahul Chaudhary,Security,Canada,Active
40,Nakul Chaudhary,Engineering,USA,Active
41,Harmanjit Singh,Sales,USA,Active
42,Sahib Brown,Cloud,Canada,Active
43,Aman Wilson,Engineering,Canada,Active
44,Karan John,Finance,Canada,Active
45,Harmanjit John,HR,Canada,Active
46,Simran Chaudhary,Sales,Canada,Active
47,Anisha Kaur,Finance,Canada,Active
48,Harmanjit John,Marketing,Canada,Inactive
49,Nakul Sharma,Engineering,USA,Inactive
50,Karan Sharma,Finance,UK,Active
51,Harmanjit Chaudhary,Engineering,India,Active
52,Nakul Wilson,Marketing,Canada,Active
53,Nakul Kaur,Cloud,Canada,Active
54,Harmanjit Kaur,Sales,Canada,Active
55,Nakul Kaur,IT,Canada,Active
56,Karan Taylor,Security,Canada,Inactive
57,Aman Brown,Marketing,Canada,Active
58,Simran Brown,Marketing,India,Inactive
59,Nakul John,Finance,UK,Active
60,Priya Singh,Engineering,Canada,Active
61,Harmanjit Wilson,IT,Canada,Active
62,Simran Taylor,Security,India,Active
63,Sahib Wilson,Engineering,Canada,Active
64,Aman Singh,HR,Canada,Active
65,Priya Sharma,Cloud,Canada,Active
66,Nakul Singh,Sales,Canada,Active
67,Binil Taylor,Sales,Canada,Active
68,Sahib Yadav,Sales,Canada,Active
69,Anisha Kaur,HR,USA,Active
70,Harmanjit Patel,Cloud,Canada,Active
71,Rahul Wilson,Engineering,Canada,Active
72,Sahib John,HR,Canada,Active
73,Nakul Brown,Marketing,Canada,Active
74,Binil Taylor,HR,Canada,Active
75,Priya Taylor,Marketing,UK,Active
76,Anisha Sharma,Sales,Canada,Active
77,Sahib Brown,HR,Canada,Active
78,Aman Singh,HR,Canada,Active
79,Harmanjit Sharma,IT,USA,Active
80,Karan Taylor,Security,Canada,Active
81,Anisha Singh,Cloud,Canada,Active
82,Sahib Taylor,Sales,Canada,Active
83,Sahib Patel,Cloud,India,Active
84,Simran Wilson,Marketing,Canada,Active
85,Nakul Brown,HR,Canada,Inactive
86,Anisha John,Security,Canada,Active
87,Aman Sharma,Security,Canada,Active
88,Nakul Patel,Security,Canada,Active
89,Harmanjit Sharma,Cloud,USA,Active
90,Harmanjit Yadav,Engineering,Canada,Active
91,Karan Sharma,Marketing,Canada,Active
92,Simran Patel,Cloud,Canada,Active
93,Sahib Brown,Sales,Canada,Active
94,Aman Wilson,Finance,Canada,Active
95,Sahib Chaudhary,IT,UK,Active
96,Binil Wilson,Marketing,Canada,Active
97,Aman Chaudhary,Finance,Canada,Inactive
98,Aman Chaudhary,Finance,Canada,Active
99,Aman Yadav,HR,India,Active
100,Priya Singh,Marketing,Canada,Active
